AI, Artificial Intelligence
API, Application Programming Interface
ASR, Automatic Speech Recognition
BERT, Bidirectional Encoder Representations from Transformer
BLEU, Bilingual Evaluation Understudy, Bilingual Evaluation Understudies
BUDS, Bayesian Update of Dialogue State
DM, Dialogue Manager
DPO, Direction Preference Optimization
DST, Dialogue State Tracking
FT, Fine Tuning
GPT, Generative Pre-Training
HIS, Hidden Information State
HIS, Hidden Information State
LLM, Large Language Model
LM, Language Model
LSTM, Long Short Term Memory
MCP, Model Context Protocol
MDP, Markov Decision Process, Markov Decision Processes
METEOR, Metric for Evaluation of Translation with Explicit ORdering
MLM, Masked Language Modeling
NLG, Natural Language Generation
NLU, Natural Language Understanding
POL, Dialogue Policy
POMDP, Partially Observable Markov Decision Process, Partially Observable Markov Decision Processes
PPO, Proximal Policy Optimization
RAG, Retrieval-Augmented Generation
RL, Reinforcement Learning
RLHF, Reinforcement Learning from Human Feedback
RNN, Recurrent Neural Network
NN, Neural Network
ROUGE, Recall-Oriented Understudy for Gisting Evaluation 
DPR, Dense Passage Retriever
